Product Code,Brand,Core Specification,Processor Specification,RAM,ROM,SSD
CF884218,Samsung,Ryzen 3,Ryzen 3,16GB,1TB,512GB
9A61C658,Redmi,i9,i9,6GB,512GB,512GB
C98F17CA,HP,N/A,Samsung Exynos,12GB,128GB,N/A
1C31DF4A,Realme,Ryzen 5,Ryzen 5,4GB,1TB,256GB
BD6CC48B,Acer,Ryzen 3,Ryzen 3,8GB,1TB,2TB
F13739FF,iQOO,N/A,Snapdragon 7 Gen,16GB,512GB,N/A
BDAB9D30,Dell,N/A,Snapdragon 8 Gen,32GB,512GB,N/A
B51BE37A,Samsung,N/A,Snapdragon 8 Gen,32GB,64GB,N/A
26825C0F,HP,N/A,Snapdragon 7 Gen,16GB,512GB,N/A
9F8C2082,Lenovo,N/A,Snapdragon 8 Gen,4GB,256GB,N/A
A957726E,Nokia,N/A,Snapdragon 7 Gen,32GB,128GB,N/A
A692B6B2,iQOO,N/A,Snapdragon 7 Gen,8GB,64GB,N/A
88EC2E27,iQOO,N/A,Snapdragon 7s,4GB,512GB,N/A
7289581E,Asus,Ryzen 7,Ryzen 7,8GB,512GB,256GB
3.39E+04,Microsoft,Ryzen 7,Ryzen 7,4GB,128GB,2TB
E83D4195,Toshiba,i5,i5,6GB,64GB,2TB
29493FAA,Google,i3,i3,6GB,256GB,512GB
6C6A51C8,Oppo,Ryzen 9,Ryzen 9,6GB,512GB,2TB
98660CB1,Realme,N/A,Apple A-Series,32GB,256GB,N/A
AEFEC66E,Samsung,Ryzen 7,Ryzen 7,4GB,64GB,2TB
B6659342,Asus,N/A,Apple A-Series,6GB,64GB,N/A
DD508DD0,Vivo,N/A,MediaTek Dimensity,4GB,64GB,N/A
350528D5,Motorola,N/A,Snapdragon 7 Gen,4GB,64GB,N/A
ECFDD5AD,Vivo,i3,i3,6GB,128GB,1TB
F5B6B3D7,iQOO,i7,i7,4GB,64GB,1TB
33C9E127,Google,N/A,Snapdragon 7s,6GB,512GB,N/A
1EFB4542,iQOO,N/A,Samsung Exynos,16GB,128GB,N/A
BD867652,Samsung,Ryzen 5,Ryzen 5,16GB,128GB,256GB
7B6AD3FF,Redmi,N/A,Samsung Exynos,12GB,1TB,N/A
0E892823,Acer,i7,i7,12GB,1TB,256GB
B5960254,Samsung,Ryzen 7,Ryzen 7,32GB,256GB,512GB
3FF7069B,Google,N/A,Snapdragon 8 Gen,6GB,64GB,N/A
0F0C53FB,Motorola,Ryzen 7,Ryzen 7,4GB,256GB,256GB
F6DE94E0,Nokia,Ryzen 5,Ryzen 5,32GB,256GB,1TB
775C9D4A,Nokia,i3,i3,4GB,1TB,256GB
FFAFAD2B,Realme,N/A,MediaTek Helio,32GB,128GB,N/A
F9849F0C,OnePlus,i3,i3,12GB,256GB,256GB
1E7A5A03,HP,N/A,MediaTek Helio,8GB,128GB,N/A
DB6F5FEC,Google,i3,i3,12GB,64GB,1TB
D0EB2343,Google,N/A,MediaTek Dimensity,12GB,256GB,N/A
D4B363CC,iQOO,Ryzen 7,Ryzen 7,8GB,64GB,512GB
D21FC96D,Acer,Ryzen 7,Ryzen 7,8GB,256GB,256GB
D36FC48A,Motorola,N/A,Snapdragon 7s,8GB,64GB,N/A
F916C29C,Vivo,N/A,Snapdragon 7 Gen,8GB,64GB,N/A
B63BD722,Sony,Ryzen 7,Ryzen 7,6GB,1TB,512GB
7A7D582C,HP,Ryzen 3,Ryzen 3,4GB,64GB,2TB
202F0160,Dell,N/A,Samsung Exynos,8GB,64GB,N/A
71166CDE,Motorola,N/A,MediaTek Dimensity,6GB,1TB,N/A
485A5C78,Oppo,i3,i3,32GB,128GB,512GB
9C5B4B5D,Motorola,N/A,Snapdragon 8 Gen,12GB,512GB,N/A
D73F88BD,Motorola,Ryzen 7,Ryzen 7,12GB,512GB,512GB
33009991,Google,i9,i9,32GB,64GB,512GB
02F432C7,iQOO,Ryzen 7,Ryzen 7,32GB,128GB,1TB
FA8058CE,Sony,i3,i3,12GB,64GB,256GB
B8B7F759,iQOO,N/A,Snapdragon 7 Gen,32GB,512GB,N/A
0539DBE6,OnePlus,i7,i7,6GB,256GB,256GB
E1A031A2,Oppo,N/A,Snapdragon 7 Gen,6GB,256GB,N/A
5FB42BDF,Lenovo,i7,i7,4GB,128GB,1TB
225E733B,Vivo,N/A,Samsung Exynos,4GB,128GB,N/A
D30F1287,Samsung,i9,i9,8GB,256GB,1TB
268FC981,Realme,N/A,Snapdragon 7s,6GB,256GB,N/A
B5979456,Redmi,Ryzen 9,Ryzen 9,16GB,256GB,512GB
1E646AC1,Toshiba,N/A,Snapdragon 8 Gen,6GB,256GB,N/A
7.50E+10,Realme,N/A,Samsung Exynos,32GB,1TB,N/A
0C376DC0,Apple,N/A,Samsung Exynos,4GB,128GB,N/A
19CAFF55,iQOO,i7,i7,6GB,256GB,512GB
2E475456,Apple,i3,i3,8GB,256GB,2TB
06E841E7,Motorola,N/A,Snapdragon 7s,4GB,128GB,N/A
EB21B3A6,Lenovo,Ryzen 7,Ryzen 7,16GB,128GB,1TB
CED22D67,Asus,i7,i7,4GB,128GB,1TB
B1538A92,Asus,Ryzen 3,Ryzen 3,12GB,512GB,1TB
1C73DE0B,HP,i9,i9,16GB,512GB,256GB
093C2823,Asus,i9,i9,12GB,512GB,2TB
3F08E101,Samsung,N/A,Apple A-Series,16GB,256GB,N/A
6951D855,Apple,Ryzen 5,Ryzen 5,4GB,64GB,256GB
80768EC6,Acer,N/A,MediaTek Dimensity,12GB,1TB,N/A
EEBD8464,HP,N/A,Snapdragon 7 Gen,6GB,1TB,N/A
D193092F,Realme,i5,i5,32GB,64GB,512GB
4600D2A7,OnePlus,Ryzen 5,Ryzen 5,12GB,128GB,2TB
B8AC59F5,Huawei,N/A,Snapdragon 7s,16GB,64GB,N/A
5FC4B050,Redmi,N/A,MediaTek Helio,6GB,1TB,N/A
6B3805A1,Realme,i9,i9,6GB,512GB,2TB
3747FE76,Sony,N/A,Snapdragon 7 Gen,16GB,512GB,N/A
B1F6FCBC,OnePlus,N/A,Snapdragon 8 Gen,4GB,1TB,N/A
3206C312,Nokia,N/A,Snapdragon 7 Gen,12GB,128GB,N/A
5DA6F0DE,Apple,i3,i3,12GB,512GB,2TB
0AB6C496,Lenovo,N/A,MediaTek Dimensity,4GB,128GB,N/A
547830F3,Redmi,N/A,Snapdragon 7s,32GB,128GB,N/A
6EB45546,HP,i7,i7,16GB,256GB,512GB
2BCF6285,Sony,i9,i9,32GB,256GB,1TB
897B1108,Huawei,N/A,Snapdragon 7s,12GB,64GB,N/A
BE326B71,OnePlus,N/A,MediaTek Helio,32GB,256GB,N/A
3D77F3D1,Microsoft,N/A,Snapdragon 8 Gen,6GB,256GB,N/A
D8F52A46,Motorola,N/A,Snapdragon 8 Gen,32GB,1TB,N/A
FF920FFF,Realme,N/A,Apple A-Series,6GB,256GB,N/A
B9A86E67,Microsoft,Ryzen 3,Ryzen 3,4GB,128GB,256GB
F5A7CFA3,iQOO,Ryzen 9,Ryzen 9,32GB,1TB,512GB
5BF1FB71,Motorola,Ryzen 7,Ryzen 7,32GB,128GB,2TB
4170B497,Samsung,N/A,MediaTek Dimensity,6GB,256GB,N/A
23EBF79A,Nokia,i3,i3,4GB,128GB,2TB
2A95D723,Realme,i3,i3,32GB,256GB,1TB
10D09396,Vivo,Ryzen 7,Ryzen 7,8GB,1TB,256GB
32D06DA0,Asus,Ryzen 3,Ryzen 3,12GB,64GB,1TB
E1CC647B,Motorola,N/A,Snapdragon 8 Gen,6GB,512GB,N/A
0B4C715A,Apple,Ryzen 3,Ryzen 3,32GB,512GB,256GB
0EEB99D4,OnePlus,N/A,Snapdragon 7 Gen,6GB,128GB,N/A
C8BAAC79,Acer,Ryzen 9,Ryzen 9,8GB,128GB,256GB
3F399072,Lenovo,i3,i3,16GB,512GB,2TB
FCB65F1A,Motorola,N/A,Snapdragon 7s,4GB,64GB,N/A
4AEEAA37,Motorola,N/A,Snapdragon 8 Gen,4GB,256GB,N/A
D7C5C2A8,Sony,N/A,Snapdragon 7s,32GB,512GB,N/A
2C2BD7F6,Realme,Ryzen 3,Ryzen 3,6GB,512GB,2TB
25D47C7A,OnePlus,i5,i5,16GB,64GB,256GB
E9DB8534,OnePlus,i7,i7,16GB,256GB,512GB
DECDC3C3,Toshiba,N/A,MediaTek Dimensity,32GB,128GB,N/A
C2F88802,HP,N/A,Snapdragon 7 Gen,8GB,1TB,N/A
5B00EE28,iQOO,Ryzen 7,Ryzen 7,8GB,128GB,256GB
2033356D,Google,Ryzen 5,Ryzen 5,4GB,256GB,1TB
B5714ED0,Apple,Ryzen 7,Ryzen 7,12GB,512GB,2TB
C08D0A20,OnePlus,i7,i7,12GB,1TB,1TB
A7631B1A,Realme,Ryzen 3,Ryzen 3,4GB,256GB,256GB
082DAFE9,Acer,Ryzen 5,Ryzen 5,8GB,128GB,256GB
A5C8DE7A,Toshiba,N/A,Snapdragon 7s,16GB,64GB,N/A
7DD2749F,Lenovo,N/A,Snapdragon 7s,8GB,1TB,N/A
AE9EFC43,Dell,Ryzen 3,Ryzen 3,16GB,1TB,512GB
C47D4A2E,Redmi,Ryzen 9,Ryzen 9,8GB,64GB,256GB
B4F71F7D,Nokia,i3,i3,8GB,64GB,2TB
95D8C40E,Acer,i3,i3,4GB,64GB,512GB
21CA7D5F,Huawei,N/A,MediaTek Dimensity,8GB,256GB,N/A
6E16B093,Redmi,N/A,MediaTek Dimensity,4GB,64GB,N/A
C1B415C1,HP,N/A,Snapdragon 7 Gen,32GB,64GB,N/A
4A034EB0,OnePlus,N/A,Samsung Exynos,8GB,256GB,N/A
75B0FC94,Microsoft,N/A,Snapdragon 7s,12GB,256GB,N/A
F4F24EA6,Oppo,N/A,MediaTek Dimensity,6GB,128GB,N/A
8EB13CED,Google,N/A,Samsung Exynos,6GB,512GB,N/A
444F53A5,Asus,N/A,MediaTek Helio,16GB,512GB,N/A
32F9B20F,Asus,N/A,Snapdragon 8 Gen,4GB,512GB,N/A
3C9210DD,Huawei,N/A,Snapdragon 7 Gen,8GB,512GB,N/A
4CC0F824,Google,i3,i3,32GB,1TB,512GB
C110B7E1,Sony,N/A,Snapdragon 7 Gen,32GB,1TB,N/A
607D27B4,Motorola,N/A,MediaTek Dimensity,16GB,512GB,N/A
3C1A4A9B,Google,Ryzen 7,Ryzen 7,6GB,512GB,256GB
3D04FEEA,Realme,N/A,Snapdragon 7 Gen,16GB,1TB,N/A
CB37ED95,Toshiba,Ryzen 7,Ryzen 7,6GB,128GB,2TB
F603AE06,Nokia,Ryzen 7,Ryzen 7,4GB,64GB,256GB
859E351B,Microsoft,Ryzen 3,Ryzen 3,4GB,256GB,2TB
49737CC5,Oppo,N/A,Snapdragon 7s,8GB,512GB,N/A
9F0BC862,Huawei,i3,i3,12GB,128GB,256GB
D8168ECC,Realme,Ryzen 9,Ryzen 9,6GB,64GB,512GB
77232AF9,HP,Ryzen 3,Ryzen 3,6GB,128GB,1TB
36025554,Microsoft,N/A,Snapdragon 8 Gen,12GB,1TB,N/A
5A077387,Toshiba,Ryzen 7,Ryzen 7,4GB,64GB,1TB
B4AE03BE,HP,N/A,MediaTek Dimensity,4GB,256GB,N/A
2E151090,Redmi,Ryzen 3,Ryzen 3,32GB,512GB,256GB
75C9DE7C,Asus,i5,i5,4GB,64GB,1TB
4DD8EEF1,Redmi,Ryzen 3,Ryzen 3,4GB,128GB,256GB
31D6E768,Vivo,N/A,Snapdragon 8 Gen,6GB,128GB,N/A
070105D8,Acer,N/A,Snapdragon 7s,32GB,128GB,N/A
AE096E7E,Asus,N/A,MediaTek Helio,4GB,512GB,N/A
6474ABBE,Oppo,N/A,MediaTek Helio,32GB,64GB,N/A
083B81C3,HP,i5,i5,32GB,1TB,256GB
27BFD7C0,Acer,N/A,Snapdragon 7s,6GB,512GB,N/A
8E3152AA,iQOO,N/A,Snapdragon 8 Gen,6GB,256GB,N/A
10621027,Dell,i9,i9,12GB,1TB,256GB
473A54EA,Apple,Ryzen 5,Ryzen 5,16GB,512GB,1TB
8E5950DE,Motorola,N/A,Apple A-Series,8GB,256GB,N/A
6C6C6A7E,Sony,i5,i5,6GB,256GB,2TB
CE00009C,Nokia,N/A,MediaTek Dimensity,12GB,1TB,N/A
5BFC8BBB,Lenovo,Ryzen 9,Ryzen 9,16GB,1TB,256GB
ABA479D3,Apple,N/A,Snapdragon 8 Gen,32GB,512GB,N/A
C3A6075A,Toshiba,N/A,Apple A-Series,4GB,128GB,N/A
D771E88F,Dell,N/A,MediaTek Dimensity,32GB,512GB,N/A
A3B9D57C,Nokia,N/A,MediaTek Helio,12GB,1TB,N/A
6F83C1C0,iQOO,N/A,Snapdragon 8 Gen,4GB,512GB,N/A
74176C0D,HP,N/A,Snapdragon 7 Gen,32GB,64GB,N/A
FE2F8E8D,Vivo,Ryzen 7,Ryzen 7,8GB,256GB,256GB
089F73BC,iQOO,N/A,Samsung Exynos,6GB,64GB,N/A
70D834A8,Motorola,N/A,Samsung Exynos,16GB,512GB,N/A
801FC234,Apple,N/A,MediaTek Helio,8GB,64GB,N/A
7AFC2E71,Motorola,Ryzen 9,Ryzen 9,32GB,1TB,1TB
BB9C3D49,Vivo,N/A,Snapdragon 7s,4GB,256GB,N/A
7512EC05,Oppo,N/A,Snapdragon 8 Gen,8GB,256GB,N/A
7A1F15B1,Sony,Ryzen 5,Ryzen 5,4GB,64GB,256GB
B6644D22,Oppo,Ryzen 5,Ryzen 5,6GB,1TB,1TB
E6B0429F,Toshiba,i9,i9,4GB,1TB,2TB
BA46842A,Google,N/A,Snapdragon 8 Gen,6GB,128GB,N/A
76183088,HP,i5,i5,32GB,64GB,256GB
E3D31276,Asus,i3,i3,12GB,128GB,512GB
48A0277C,OnePlus,N/A,MediaTek Helio,16GB,1TB,N/A
A2C9AC5C,Huawei,N/A,Snapdragon 7 Gen,32GB,1TB,N/A
FB33428E,Motorola,i3,i3,8GB,256GB,512GB
4B6EB507,Toshiba,i3,i3,4GB,512GB,2TB
3C151ED2,Sony,i5,i5,32GB,256GB,256GB
1B0206B3,iQOO,N/A,Snapdragon 7 Gen,8GB,256GB,N/A
00F0476A,Microsoft,N/A,Samsung Exynos,12GB,128GB,N/A
B09046C4,Acer,N/A,Snapdragon 8 Gen,32GB,1TB,N/A
BA2ED98C,Asus,N/A,Apple A-Series,4GB,512GB,N/A
95CD6741,Realme,N/A,MediaTek Helio,8GB,1TB,N/A
17D2B925,Realme,N/A,Apple A-Series,12GB,128GB,N/A
47D4FCD0,Microsoft,i7,i7,12GB,512GB,256GB
100DF3D1,HP,N/A,Snapdragon 7s,12GB,128GB,N/A
F4600CB1,Realme,N/A,Apple A-Series,6GB,64GB,N/A
288B8A2A,Huawei,Ryzen 9,Ryzen 9,16GB,128GB,1TB
8EBCED1B,Dell,i7,i7,32GB,1TB,256GB
A741333C,Realme,Ryzen 5,Ryzen 5,6GB,256GB,1TB
2C317FFC,Apple,i9,i9,12GB,1TB,1TB
C8E72D90,Nokia,N/A,Snapdragon 7s,4GB,128GB,N/A
68E6607B,Vivo,N/A,Snapdragon 8 Gen,12GB,512GB,N/A
81B647C4,Vivo,i7,i7,16GB,512GB,256GB
881EDB7D,iQOO,N/A,Snapdragon 8 Gen,12GB,256GB,N/A
58E38059,Sony,N/A,Snapdragon 8 Gen,8GB,256GB,N/A
080EE8C3,Nokia,i7,i7,6GB,128GB,256GB
AD10525C,Acer,N/A,Snapdragon 8 Gen,6GB,64GB,N/A
211CE4AB,Samsung,N/A,Snapdragon 7 Gen,8GB,64GB,N/A
EBACCB38,Asus,N/A,Snapdragon 7 Gen,12GB,1TB,N/A
A08DBC33,Toshiba,N/A,MediaTek Dimensity,8GB,128GB,N/A
A2498600,Oppo,N/A,Snapdragon 7s,16GB,128GB,N/A
3BCF27C7,Lenovo,N/A,Samsung Exynos,6GB,1TB,N/A
7275D496,Dell,i5,i5,32GB,256GB,512GB
B1EADFDF,Lenovo,i5,i5,12GB,1TB,1TB
DE0F40C3,Acer,N/A,Snapdragon 7 Gen,6GB,512GB,N/A
B6B204E7,Dell,N/A,Samsung Exynos,6GB,512GB,N/A
876852EC,Sony,Ryzen 7,Ryzen 7,4GB,1TB,1TB
C777EB83,Sony,N/A,Snapdragon 7 Gen,16GB,64GB,N/A
DECCAC7F,Motorola,N/A,Samsung Exynos,16GB,64GB,N/A
EB7BDFE5,Dell,Ryzen 7,Ryzen 7,12GB,128GB,1TB
4.05E+09,Motorola,i5,i5,16GB,512GB,256GB
C384DC60,Realme,Ryzen 5,Ryzen 5,32GB,128GB,1TB
0BB62EEE,Samsung,Ryzen 7,Ryzen 7,12GB,256GB,512GB
A4489417,Samsung,N/A,MediaTek Helio,6GB,1TB,N/A
EA01E6E2,Lenovo,i7,i7,16GB,256GB,256GB
007DCA0E,Apple,i7,i7,6GB,64GB,256GB
0E914E1B,Samsung,i3,i3,6GB,256GB,512GB
5DA380A9,iQOO,Ryzen 5,Ryzen 5,6GB,128GB,256GB
E7E1E6D8,Asus,N/A,MediaTek Helio,8GB,1TB,N/A
F85A2139,Oppo,Ryzen 9,Ryzen 9,32GB,64GB,1TB
9D22D1E5,Vivo,N/A,MediaTek Dimensity,12GB,1TB,N/A
7F924E18,Vivo,Ryzen 7,Ryzen 7,6GB,512GB,512GB
3BC10D74,Huawei,Ryzen 3,Ryzen 3,8GB,128GB,512GB
785A0358,HP,N/A,Snapdragon 8 Gen,6GB,512GB,N/A
3CB9091C,Apple,N/A,MediaTek Dimensity,16GB,1TB,N/A
344226B7,Sony,i9,i9,32GB,64GB,1TB
017D292C,Asus,i7,i7,6GB,64GB,512GB
B104C358,Nokia,i9,i9,16GB,256GB,512GB
4AAFE732,Realme,Ryzen 7,Ryzen 7,32GB,64GB,1TB
BE5297AF,Motorola,N/A,MediaTek Helio,32GB,256GB,N/A
899FA409,Vivo,N/A,Apple A-Series,4GB,1TB,N/A
0D14A52B,Acer,N/A,MediaTek Dimensity,16GB,256GB,N/A
EF10A66F,HP,Ryzen 3,Ryzen 3,8GB,1TB,512GB
06A38179,Vivo,i9,i9,8GB,1TB,256GB
9ABD837E,OnePlus,Ryzen 3,Ryzen 3,32GB,1TB,1TB
F72BB0A1,Dell,N/A,Snapdragon 8 Gen,8GB,256GB,N/A
19D722A8,Motorola,Ryzen 9,Ryzen 9,6GB,128GB,1TB
28E07097,Dell,N/A,Snapdragon 7s,16GB,1TB,N/A
EAB2E27B,Apple,N/A,Snapdragon 7s,32GB,512GB,N/A
D4358B21,Dell,N/A,Samsung Exynos,12GB,256GB,N/A
2.13E+09,HP,i5,i5,4GB,256GB,1TB
B6F33EA1,Oppo,N/A,Snapdragon 7 Gen,4GB,512GB,N/A
9691BCCC,Vivo,N/A,Snapdragon 7 Gen,6GB,512GB,N/A
83A4088D,iQOO,N/A,Samsung Exynos,4GB,128GB,N/A
08D91DEA,Motorola,Ryzen 7,Ryzen 7,32GB,256GB,2TB
D4D6421A,HP,N/A,Snapdragon 7s,12GB,64GB,N/A
0A475B03,Huawei,Ryzen 5,Ryzen 5,16GB,128GB,2TB
D1DC04D6,HP,Ryzen 9,Ryzen 9,12GB,128GB,256GB
73B575AC,Google,N/A,Snapdragon 8 Gen,12GB,1TB,N/A
4B955411,Huawei,N/A,MediaTek Dimensity,16GB,512GB,N/A
D39E4B35,iQOO,Ryzen 5,Ryzen 5,4GB,1TB,256GB
93A0FCA0,Vivo,N/A,MediaTek Dimensity,4GB,256GB,N/A
4C70112B,Apple,i3,i3,32GB,64GB,512GB
1470D57D,Nokia,N/A,Snapdragon 7 Gen,4GB,64GB,N/A
652823B7,Apple,i5,i5,16GB,256GB,256GB
7CC3269D,Toshiba,N/A,Snapdragon 7s,6GB,1TB,N/A
E0B0430B,Acer,N/A,Snapdragon 7s,32GB,64GB,N/A
B3131763,Nokia,Ryzen 9,Ryzen 9,4GB,128GB,2TB
1871A11B,Toshiba,N/A,Apple A-Series,16GB,512GB,N/A
71DC8030,Acer,Ryzen 5,Ryzen 5,12GB,128GB,512GB
E00DF23B,Dell,N/A,Snapdragon 7 Gen,12GB,64GB,N/A
1C74B4B6,Redmi,N/A,Snapdragon 7s,4GB,128GB,N/A
31FFFBEA,iQOO,N/A,MediaTek Helio,16GB,512GB,N/A
CFDD54EB,Sony,N/A,Snapdragon 8 Gen,12GB,256GB,N/A
EC0FE97B,Vivo,N/A,Snapdragon 7s,12GB,128GB,N/A
4E9F4F8B,Apple,N/A,Apple A-Series,6GB,64GB,N/A
04F99953,Realme,N/A,MediaTek Helio,12GB,128GB,N/A
74769112,Lenovo,N/A,MediaTek Helio,8GB,64GB,N/A
AD5505C0,Apple,i5,i5,16GB,1TB,2TB
6A592107,Dell,N/A,Samsung Exynos,6GB,512GB,N/A
A062EF38,Dell,i3,i3,16GB,64GB,1TB
7B20AE7C,Microsoft,Ryzen 7,Ryzen 7,8GB,128GB,256GB
8D3011E2,Dell,N/A,Snapdragon 7s,12GB,256GB,N/A
48079F17,Motorola,N/A,Apple A-Series,12GB,1TB,N/A
AB98717A,Lenovo,i9,i9,8GB,256GB,2TB
FFF2AFEE,Lenovo,i7,i7,4GB,64GB,2TB
C79E4339,Acer,Ryzen 7,Ryzen 7,16GB,128GB,2TB
D3F400A0,iQOO,N/A,MediaTek Helio,6GB,512GB,N/A
0BBE140B,Apple,N/A,Snapdragon 8 Gen,12GB,64GB,N/A
0872BC11,Sony,N/A,Snapdragon 7 Gen,4GB,64GB,N/A
F8D4B6FB,Oppo,N/A,Apple A-Series,16GB,128GB,N/A
C265DF9B,Dell,N/A,Snapdragon 7s,32GB,64GB,N/A
E899E0CF,Redmi,N/A,Samsung Exynos,8GB,1TB,N/A
BD925D8F,Microsoft,N/A,Apple A-Series,16GB,256GB,N/A
24D602E0,Microsoft,N/A,Snapdragon 8 Gen,12GB,1TB,N/A
AD6083DB,iQOO,N/A,Snapdragon 7 Gen,4GB,64GB,N/A
0C8D6326,Sony,N/A,Snapdragon 7s,32GB,256GB,N/A
F2DA3F8F,Redmi,i7,i7,4GB,512GB,256GB
81C73709,Lenovo,N/A,Apple A-Series,12GB,64GB,N/A
474547F2,Lenovo,i3,i3,8GB,512GB,256GB
A92078B8,Lenovo,Ryzen 5,Ryzen 5,8GB,128GB,256GB
0CEE4EC5,Apple,N/A,MediaTek Helio,12GB,64GB,N/A
A675D88C,Vivo,Ryzen 9,Ryzen 9,8GB,1TB,512GB
220D6977,Motorola,i5,i5,32GB,128GB,1TB
73B2F07C,OnePlus,N/A,MediaTek Helio,16GB,512GB,N/A
E0FE5686,Motorola,N/A,MediaTek Dimensity,16GB,1TB,N/A
27EF997C,Lenovo,i5,i5,4GB,64GB,1TB
E2A7B73E,HP,N/A,Snapdragon 7s,6GB,1TB,N/A
692A88F8,Google,N/A,MediaTek Helio,16GB,256GB,N/A
C1D732ED,OnePlus,i3,i3,6GB,128GB,2TB
DD49670B,Huawei,N/A,Snapdragon 7s,32GB,512GB,N/A
F4D10B6A,Apple,N/A,Snapdragon 7 Gen,12GB,128GB,N/A
3E68475A,Asus,i5,i5,6GB,128GB,1TB
12F07789,Asus,i9,i9,6GB,512GB,1TB
32F63FBA,Realme,N/A,MediaTek Helio,6GB,128GB,N/A
94D3F676,Samsung,Ryzen 7,Ryzen 7,12GB,128GB,512GB
DFA60CB5,Asus,N/A,Snapdragon 8 Gen,16GB,512GB,N/A
F16BA885,Nokia,N/A,Snapdragon 7s,6GB,128GB,N/A
99AC1B0F,HP,N/A,MediaTek Helio,8GB,128GB,N/A
DC37D223,OnePlus,Ryzen 7,Ryzen 7,16GB,128GB,512GB
325F3BCB,HP,Ryzen 3,Ryzen 3,16GB,128GB,1TB
82F3BEC0,Apple,i5,i5,8GB,128GB,2TB
DCDB1BA5,Redmi,i5,i5,8GB,256GB,256GB
270C59F8,iQOO,N/A,Snapdragon 8 Gen,8GB,128GB,N/A
8F752990,Lenovo,i3,i3,32GB,128GB,1TB
B1BAD72A,OnePlus,Ryzen 9,Ryzen 9,16GB,64GB,256GB
6AAEFF5A,HP,N/A,Snapdragon 8 Gen,8GB,128GB,N/A
B47C6450,Google,N/A,Snapdragon 7 Gen,32GB,256GB,N/A
77F1C8F8,Lenovo,Ryzen 9,Ryzen 9,32GB,128GB,1TB
96F19927,Nokia,i9,i9,8GB,128GB,2TB
5A3EF9A4,iQOO,N/A,Samsung Exynos,6GB,256GB,N/A
D7D04E29,Oppo,N/A,MediaTek Helio,8GB,64GB,N/A
398AEA7F,Lenovo,i5,i5,8GB,1TB,256GB
81690E4C,Realme,N/A,Snapdragon 8 Gen,4GB,64GB,N/A
B1F5045F,Acer,i5,i5,4GB,1TB,2TB
C1E04470,Samsung,N/A,Samsung Exynos,6GB,128GB,N/A
47249AC3,Vivo,i9,i9,16GB,128GB,1TB
2BFFA446,Dell,N/A,MediaTek Dimensity,8GB,512GB,N/A
A6839CB9,Google,i7,i7,8GB,256GB,256GB
76E7C14C,Acer,N/A,Samsung Exynos,4GB,128GB,N/A
13DF5F08,Realme,Ryzen 7,Ryzen 7,16GB,512GB,1TB
84CC53A9,Motorola,i3,i3,6GB,256GB,2TB
15443566,iQOO,i5,i5,12GB,128GB,2TB
58084B49,OnePlus,Ryzen 5,Ryzen 5,6GB,64GB,1TB
120E0754,Microsoft,i9,i9,8GB,64GB,2TB
AE1807C9,Acer,N/A,MediaTek Helio,6GB,1TB,N/A
5FEC2D6B,Motorola,i5,i5,12GB,1TB,512GB
3857F282,Realme,N/A,Snapdragon 8 Gen,12GB,64GB,N/A
85965192,Sony,N/A,Snapdragon 7 Gen,8GB,256GB,N/A
D226BBF1,Microsoft,Ryzen 3,Ryzen 3,12GB,128GB,512GB
