shipping_id,order_id,shipping_method,tracking_number,shipping_status,shipped_date
55,O500054,Standard,757C8A58,Delivered,2025-06-16
56,O500055,Overnight,CA353F7C,Delivered,2025-06-27
57,O500056,Standard,C2579EFC,Pending,2025-06-09
58,O500057,Overnight,99AAE79C,Shipped,2025-06-10
59,O500058,Standard,8C626F5B,Cancelled,2025-06-24
60,O500059,Express,116480F5,Delivered,2025-07-09
61,O500060,Express,62F08799,Shipped,2025-06-22
62,O500061,Standard,F003549B,Pending,2025-06-27
63,O500062,Two-Day,91FB2AE6,Cancelled,2025-07-03
64,O500063,Standard,F55A81A5,Cancelled,2025-06-22
65,O500064,Two-Day,CBFE86DC,In Transit,2025-06-30
66,O500065,Express,667A987E,Delivered,2025-06-27
67,O500066,Express,9B8B89D6,Shipped,2025-06-29
68,O500067,Overnight,E7352F1D,Shipped,2025-07-02
69,O500068,Two-Day,E1628D33,Shipped,2025-07-07
70,O500069,Express,D285924F,Cancelled,2025-06-25
71,O500070,Express,EE687479,Shipped,2025-06-09
72,O500071,Standard,4FFBFD52,Cancelled,2025-06-23
73,O500072,Overnight,F2FFEA59,Cancelled,2025-07-04
74,O500073,Standard,9C49A2B5,Delivered,2025-06-18
75,O500074,Two-Day,1C204921,In Transit,2025-07-06
76,O500075,Standard,C8724F75,Pending,2025-07-01
77,O500076,Express,3BD3D3F8,In Transit,2025-06-30
78,O500077,Express,C5501E6A,In Transit,2025-06-28
79,O500078,Express,69B75569,Shipped,2025-07-05
80,O500079,Two-Day,2F14865C,In Transit,2025-06-11
81,O500080,Overnight,160FF3D7,Cancelled,2025-07-09
82,O500081,Express,534AB375,Shipped,2025-07-09
83,O500082,Overnight,F8D3684C,Delivered,2025-07-06
84,O500083,Two-Day,9A1948A4,Shipped,2025-06-26
85,O500084,Two-Day,F3DEDC4C,In Transit,2025-06-19
86,O500085,Overnight,C23CB629,Delivered,2025-06-11
87,O500086,Standard,2CC21CE6,In Transit,2025-07-03
88,O500087,Standard,5653A130,In Transit,2025-06-29
89,O500088,Two-Day,D6E7409D,Pending,2025-06-24
90,O500089,Express,688F6195,Cancelled,2025-07-09
91,O500090,Express,65D07C1E,Delivered,2025-07-04
92,O500091,Two-Day,04AD26AD,In Transit,2025-06-30
93,O500092,Standard,140C3CCA,Shipped,2025-06-27
94,O500093,Standard,B6930E3C,In Transit,2025-06-25
95,O500094,Standard,44197FF9,In Transit,2025-06-16
96,O500095,Two-Day,2C0FD43F,In Transit,2025-06-19
97,O500096,Two-Day,2DDDA776,Delivered,2025-06-17
98,O500097,Express,2A4B333E,In Transit,2025-06-14
99,O500098,Two-Day,1994DCC3,In Transit,2025-07-08
100,O500099,Express,BCE8CC86,Cancelled,2025-06-18
101,O500100,Overnight,BEDCFDA4,Cancelled,2025-06-18
102,O500101,Two-Day,F3E8F2E2,Shipped,2025-06-16
103,O500102,Two-Day,AC59A194,Cancelled,2025-07-02
104,O500103,Two-Day,2B830A02,Delivered,2025-06-25
105,O500104,Two-Day,242A4C8D,Delivered,2025-07-06
106,O500105,Standard,49824B43,Delivered,2025-06-21
107,O500106,Express,C6B7E7AC,Cancelled,2025-06-23
108,O500107,Overnight,575008D9,Cancelled,2025-06-13
109,O500108,Express,5A9E1B60,Delivered,2025-07-04
110,O500109,Overnight,FA30C5E6,In Transit,2025-06-17
111,O500110,Express,6F5E38F7,Pending,2025-07-04
112,O500111,Two-Day,9BD53023,In Transit,2025-07-07
113,O500112,Two-Day,CAA256BC,Cancelled,2025-06-23
114,O500113,Express,79DC58AE,Delivered,2025-07-01
115,O500114,Two-Day,DEFF39EA,Shipped,2025-06-26
116,O500115,Standard,C37017FF,Pending,2025-07-03
117,O500116,Overnight,A0BE3DD6,Shipped,2025-07-09
118,O500117,Overnight,49F4FD6B,Shipped,2025-07-08
119,O500118,Two-Day,38DFBDAF,Shipped,2025-06-22
120,O500119,Overnight,A58FCA66,Shipped,2025-06-17
121,O500120,Two-Day,CBD72824,Shipped,2025-07-04
122,O500121,Express,C93CE69C,Pending,2025-06-16
123,O500122,Overnight,33FEAFE9,In Transit,2025-06-24
124,O500123,Express,BA1D6CBF,Shipped,2025-06-14
125,O500124,Overnight,7BAE80D2,Delivered,2025-07-01
126,O500125,Overnight,AC66E4E2,Pending,2025-06-21
127,O500126,Two-Day,E7CFB9B1,Cancelled,2025-06-13
128,O500127,Two-Day,3E60EDD0,Delivered,2025-07-02
129,O500128,Overnight,A8696D69,Cancelled,2025-06-25
130,O500129,Express,83EE86CC,Cancelled,2025-06-17
131,O500130,Overnight,6CB35DE0,Shipped,2025-07-07
132,O500131,Express,9BD398D3,Shipped,2025-06-17
133,O500132,Two-Day,266FBC97,Cancelled,2025-06-24
134,O500133,Express,CEE0A45D,Delivered,2025-07-08
135,O500134,Overnight,1BC45C90,In Transit,2025-06-13
136,O500135,Two-Day,B216F352,Delivered,2025-06-11
137,O500136,Express,3906FA32,Shipped,2025-06-20
138,O500137,Two-Day,515DD520,In Transit,2025-06-17
139,O500138,Two-Day,1A1E70C3,In Transit,2025-06-16
140,O500139,Overnight,4B7A5F7D,Shipped,2025-06-14
141,O500140,Express,5DD76C56,Shipped,2025-06-16
142,O500141,Overnight,37F48D0A,Cancelled,2025-06-12
143,O500142,Express,05AB61D6,Pending,2025-07-03
144,O500143,Overnight,8C285C07,Cancelled,2025-07-03
145,O500144,Standard,BE7C136A,Delivered,2025-06-24
146,O500145,Express,57341119,Delivered,2025-07-02
147,O500146,Standard,FA9F87F8,Shipped,2025-06-22
148,O500147,Overnight,ABB2A080,Pending,2025-06-26
149,O500148,Two-Day,827E0584,In Transit,2025-06-26
150,O500149,Overnight,B448A06A,Shipped,2025-07-06
151,O500150,Express,B0044498,Cancelled,2025-07-06
152,O500151,Standard,53084F79,Pending,2025-06-25
153,O500152,Standard,A720DEEA,In Transit,2025-06-23
154,O500153,Two-Day,3B0C84B7,Pending,2025-06-13
155,O500154,Overnight,9B02808D,In Transit,2025-07-04
156,O500155,Standard,5612DE7D,Delivered,2025-07-06
157,O500156,Express,8FA5A182,Shipped,2025-06-26
158,O500157,Standard,7C3F13A8,Delivered,2025-06-12
159,O500158,Standard,5945EA27,Shipped,2025-06-13
160,O500159,Overnight,B9C391A0,Delivered,2025-07-08
161,O500160,Two-Day,34D69E83,Shipped,2025-07-03
162,O500161,Two-Day,37798BA0,Shipped,2025-07-05
163,O500162,Express,CDA1CA5F,In Transit,2025-06-13
164,O500163,Overnight,6FF84821,Shipped,2025-06-13
165,O500164,Two-Day,041A8153,Delivered,2025-06-20
166,O500165,Two-Day,F8464046,Shipped,2025-07-01
167,O500166,Two-Day,C5E875C9,Pending,2025-06-26
168,O500167,Two-Day,098DD7A9,Delivered,2025-07-05
169,O500168,Standard,5EAA62F3,Shipped,2025-06-22
170,O500169,Express,E45E41CB,Cancelled,2025-06-29
171,O500170,Overnight,3CE3A2FF,Cancelled,2025-06-28
172,O500171,Standard,81F4E771,Cancelled,2025-07-03
173,O500172,Overnight,8FBB399E,Cancelled,2025-06-24
174,O500173,Express,EB6B81C3,Shipped,2025-06-14
175,O500174,Express,A65EFF60,Pending,2025-06-19
176,O500175,Two-Day,C74C953C,Pending,2025-06-22
177,O500176,Express,82CCCD51,In Transit,2025-07-07
178,O500177,Standard,8DB03FF4,Pending,2025-06-09
179,O500178,Overnight,0C53E654,Delivered,2025-06-30
180,O500179,Overnight,888B8DC2,Shipped,2025-06-09
181,O500180,Overnight,C38CE5AE,Delivered,2025-06-21
182,O500181,Two-Day,9CA427FD,Pending,2025-07-07
183,O500182,Two-Day,CBEF0C67,In Transit,2025-06-24
184,O500183,Two-Day,B2CB83D3,In Transit,2025-06-16
185,O500184,Express,AD296E38,Cancelled,2025-06-15
186,O500185,Express,FABDE5AF,Shipped,2025-07-05
187,O500186,Standard,0F66A904,In Transit,2025-06-14
188,O500187,Express,246EFF8D,Shipped,2025-06-21
189,O500188,Standard,A1B5E532,Shipped,2025-06-21
190,O500189,Two-Day,83F10883,Cancelled,2025-06-17
191,O500190,Overnight,932F416A,Cancelled,2025-06-14
192,O500191,Standard,CCC8163B,Delivered,2025-06-30
193,O500192,Express,85153DCA,Pending,2025-06-12
194,O500193,Express,BC012008,Cancelled,2025-06-28
195,O500194,Express,160D962D,Shipped,2025-06-25
196,O500195,Two-Day,7C9AFF8F,Shipped,2025-06-17
197,O500196,Two-Day,0921072E,Shipped,2025-06-25
198,O500197,Standard,F2B6CCA0,Cancelled,2025-06-27
199,O500198,Express,718FAEE2,Delivered,2025-07-05
200,O500199,Two-Day,A2AE5BEE,Pending,2025-06-16
201,O500200,Standard,7B2735F4,Delivered,2025-07-04
202,O500201,Two-Day,17E91231,Delivered,2025-06-29
203,O500202,Express,8802819F,Cancelled,2025-06-20
204,O500203,Standard,F0F316AE,Pending,2025-06-22
205,O500204,Express,9170A875,Cancelled,2025-06-09
206,O500205,Express,E83657AE,Shipped,2025-07-05
207,O500206,Express,2AE4B846,Cancelled,2025-07-08
208,O500207,Overnight,3C88C872,In Transit,2025-06-21
209,O500208,Standard,34E6090A,Shipped,2025-06-18
210,O500209,Express,663A8101,Pending,2025-06-20
211,O500210,Two-Day,05C475B0,Pending,2025-07-02
212,O500211,Standard,A7E0D435,In Transit,2025-06-10
213,O500212,Overnight,134B9CD0,Delivered,2025-06-13
214,O500213,Overnight,0E8C44D4,In Transit,2025-06-11
215,O500214,Standard,5F100B82,In Transit,2025-06-18
216,O500215,Overnight,1D5BF755,Shipped,2025-06-23
217,O500216,Two-Day,3425FBD2,Shipped,2025-06-20
218,O500217,Standard,695EA366,In Transit,2025-06-19
219,O500218,Express,37045340,In Transit,2025-06-30
220,O500219,Overnight,E50058EB,Shipped,2025-06-16
221,O500220,Standard,E5C2DCA7,Cancelled,2025-06-10
222,O500221,Two-Day,AAAD7EDC,Cancelled,2025-06-28
223,O500222,Two-Day,C99B79DE,Cancelled,2025-06-26
224,O500223,Overnight,9B95B158,Shipped,2025-06-29
225,O500224,Standard,773A25D6,In Transit,2025-06-10
226,O500225,Standard,E27B1043,Shipped,2025-06-22
227,O500226,Standard,669EB0F3,In Transit,2025-06-29
228,O500227,Express,F8B18E14,Pending,2025-07-07
229,O500228,Express,FAD8D4A6,Shipped,2025-06-14
230,O500229,Overnight,233051B9,In Transit,2025-07-06
231,O500230,Overnight,5048A807,Cancelled,2025-06-09
232,O500231,Express,BD2F9A49,Pending,2025-07-08
233,O500232,Overnight,E54DA26C,Cancelled,2025-06-26
234,O500233,Express,D6B77D38,Cancelled,2025-06-09
235,O500234,Standard,28B27F60,Shipped,2025-06-09
236,O500235,Overnight,F0A6B383,Shipped,2025-06-14
237,O500236,Standard,6EEBFA36,In Transit,2025-07-03
238,O500237,Overnight,54E335B2,Cancelled,2025-06-17
239,O500238,Express,9B0EDF9B,In Transit,2025-06-23
240,O500239,Express,37889EDC,Delivered,2025-06-18
241,O500240,Two-Day,C3CF3375,Pending,2025-07-01
242,O500241,Two-Day,4.13E+06,Shipped,2025-07-06
243,O500242,Standard,A98122EA,Cancelled,2025-06-12
244,O500243,Express,B501B507,In Transit,2025-06-11
245,O500244,Two-Day,B1E6F5AD,Pending,2025-07-09
246,O500245,Two-Day,3A0460F1,Cancelled,2025-06-19
247,O500246,Two-Day,738A70E5,Pending,2025-07-07
248,O500247,Two-Day,AA3B7F23,In Transit,2025-06-09
249,O500248,Overnight,59F32BAA,In Transit,2025-06-26
250,O500249,Two-Day,22CB3AF0,Shipped,2025-06-28
251,O500250,Two-Day,2ED1E710,Cancelled,2025-06-28
252,O500251,Two-Day,CDF91D61,Pending,2025-06-15
253,O500252,Two-Day,80656574,In Transit,2025-07-05
254,O500253,Two-Day,FF475E83,Delivered,2025-07-09
255,O500254,Two-Day,F61FB785,Pending,2025-07-05
256,O500255,Standard,32847733,In Transit,2025-06-27
257,O500256,Two-Day,D05F13E2,Pending,2025-06-17
258,O500257,Two-Day,56FFE96B,Pending,2025-06-24
259,O500258,Express,5AD73BE6,Cancelled,2025-06-24
260,O500259,Overnight,39D7B3A3,Pending,2025-07-07
261,O500260,Standard,BC8F2ED5,Shipped,2025-07-08
262,O500261,Standard,C890049E,Pending,2025-06-16
263,O500262,Standard,8E568EF0,Pending,2025-07-06
264,O500263,Standard,C7B95602,Pending,2025-06-26
265,O500264,Two-Day,581D9325,In Transit,2025-06-26
266,O500265,Overnight,59ACABEC,Delivered,2025-06-16
267,O500266,Standard,B7196DA6,Cancelled,2025-06-18
268,O500267,Overnight,AECB01BF,In Transit,2025-06-24
269,O500268,Express,64A41479,Cancelled,2025-06-12
270,O500269,Express,FA359E23,Delivered,2025-06-22
271,O500270,Two-Day,1DC1E1A7,Delivered,2025-06-28
272,O500271,Overnight,DDAC6419,In Transit,2025-06-30
273,O500272,Two-Day,C83EE1A6,Shipped,2025-07-05
274,O500273,Overnight,AE10F0F8,Cancelled,2025-06-10
275,O500274,Overnight,654CF0B2,In Transit,2025-06-24
276,O500275,Overnight,0F811F14,Cancelled,2025-06-09
277,O500276,Express,FDFA7952,Shipped,2025-06-14
278,O500277,Overnight,35E5ECF7,Pending,2025-06-28
279,O500278,Two-Day,59A91883,Cancelled,2025-06-29
280,O500279,Overnight,44ED4D93,In Transit,2025-07-01
281,O500280,Overnight,BAB21D0D,Cancelled,2025-07-08
282,O500281,Overnight,5E95A78B,Pending,2025-06-12
283,O500282,Overnight,7E56801B,Cancelled,2025-06-30
284,O500283,Standard,851D5B81,In Transit,2025-07-03
285,O500284,Standard,CF7042D6,Shipped,2025-06-09
286,O500285,Express,367BBFC4,Pending,2025-06-22
287,O500286,Two-Day,8C8832D2,In Transit,2025-06-19
288,O500287,Express,08209C19,Shipped,2025-07-04
289,O500288,Express,5B95E9D7,Cancelled,2025-07-04
290,O500289,Express,B4C5F862,Pending,2025-06-17
291,O500290,Two-Day,92EF5AB3,In Transit,2025-06-17
292,O500291,Standard,BC19FBB2,Cancelled,2025-06-18
293,O500292,Two-Day,0BC89EAE,Delivered,2025-07-08
294,O500293,Standard,BADB5A0E,Shipped,2025-07-02
295,O500294,Two-Day,22B9ACCA,Shipped,2025-06-24
296,O500295,Two-Day,9ED69543,Delivered,2025-06-13
297,O500296,Standard,1C54C597,In Transit,2025-06-23
298,O500297,Two-Day,33719945,Delivered,2025-07-03
299,O500298,Standard,DECB7F2E,Shipped,2025-06-24
300,O500299,Express,C0FECC92,Pending,2025-06-18
301,O500300,Overnight,7D0A9E1C,In Transit,2025-06-10
302,O500301,Overnight,9A09CD60,Cancelled,2025-06-26
303,O500302,Two-Day,4A361874,Delivered,2025-06-16
304,O500303,Overnight,F2751990,Pending,2025-06-26
305,O500304,Express,E0DBE4EB,In Transit,2025-06-12
306,O500305,Standard,1F43E9FF,Shipped,2025-06-10
307,O500306,Express,C63C0858,Delivered,2025-07-05
308,O500307,Express,DAA0F8C6,In Transit,2025-06-27
309,O500308,Standard,26086B52,Shipped,2025-06-26
310,O500309,Overnight,C4A4F239,Cancelled,2025-06-12
311,O500310,Overnight,E7A70200,Pending,2025-07-09
312,O500311,Two-Day,D4032393,Shipped,2025-06-12
313,O500312,Two-Day,52AD6BE5,Cancelled,2025-07-03
314,O500313,Express,D254882C,Delivered,2025-06-25
315,O500314,Two-Day,5E8A8B67,Delivered,2025-07-09
316,O500315,Overnight,2088E45C,Cancelled,2025-07-08
317,O500316,Two-Day,AC43460B,Pending,2025-06-11
318,O500317,Standard,388D00CF,Delivered,2025-06-26
319,O500318,Express,AD7AF501,Delivered,2025-06-15
320,O500319,Overnight,0085D650,Delivered,2025-07-05
321,O500320,Overnight,8A6D2646,Cancelled,2025-06-20
322,O500321,Standard,0653F6CD,Delivered,2025-06-11
323,O500322,Overnight,8A4424A1,In Transit,2025-06-27
324,O500323,Express,3C4CE9C9,In Transit,2025-07-04
325,O500324,Express,33DFB7EF,Shipped,2025-06-20
326,O500325,Standard,0A2BD112,In Transit,2025-06-25
327,O500326,Two-Day,E5598AE8,Shipped,2025-07-09
328,O500327,Two-Day,E22D69CA,Shipped,2025-06-14
329,O500328,Express,90A55C5C,Delivered,2025-06-27
330,O500329,Standard,01D03945,Shipped,2025-06-17
331,O500330,Two-Day,D7A7290E,Cancelled,2025-07-02
332,O500331,Standard,8F2A95C4,Pending,2025-07-07
333,O500332,Overnight,79A86FE2,Shipped,2025-06-18
334,O500333,Standard,0C301EE6,Shipped,2025-06-12
335,O500334,Two-Day,A6EE9848,Delivered,2025-06-29
336,O500335,Standard,6C11F358,Delivered,2025-06-17
337,O500336,Overnight,2EF535F3,Pending,2025-06-17
338,O500337,Overnight,67B61A61,Cancelled,2025-06-28
339,O500338,Standard,EF2F67D4,Delivered,2025-06-11
340,O500339,Two-Day,78E1676D,Cancelled,2025-06-30
341,O500340,Two-Day,83ED0427,In Transit,2025-06-23
342,O500341,Overnight,C8EE04BD,Shipped,2025-06-20
343,O500342,Two-Day,57D8F7EB,Pending,2025-07-08
344,O500343,Two-Day,D7989F45,Delivered,2025-07-02
345,O500344,Express,DEEFF24B,Cancelled,2025-06-13
346,O500345,Express,372D45BA,Delivered,2025-06-21
347,O500346,Express,F7C25CD2,Cancelled,2025-07-07
348,O500347,Two-Day,FC20ABF0,Pending,2025-06-26
349,O500348,Express,D82DA71C,In Transit,2025-07-07
350,O500349,Overnight,26D2DF3D,Delivered,2025-06-26
351,O500350,Overnight,5DC83718,Delivered,2025-06-30
352,O500351,Express,D91E896D,Shipped,2025-06-10
353,O500352,Two-Day,0E4506B5,Shipped,2025-06-25
354,O500353,Standard,41A3C58E,Delivered,2025-07-08
355,O500354,Standard,019638EA,Shipped,2025-06-26
356,O500355,Express,2DCA9BBA,Cancelled,2025-06-15
357,O500356,Express,C585DD0C,Delivered,2025-07-08
358,O500357,Standard,4BBDCCA7,In Transit,2025-06-21
359,O500358,Overnight,6DCBF061,Delivered,2025-06-09
360,O500359,Express,BAC2F802,Cancelled,2025-06-24
361,O500360,Overnight,E4008971,Pending,2025-06-09
362,O500361,Express,4BFAC9F0,Shipped,2025-06-14
363,O500362,Overnight,FB90A534,Shipped,2025-07-05
364,O500363,Express,DF735CA5,In Transit,2025-07-06
365,O500364,Standard,37DB2B97,Pending,2025-07-05
366,O500365,Overnight,F71B28CA,In Transit,2025-06-14
367,O500366,Two-Day,E86C17A3,In Transit,2025-06-30
368,O500367,Two-Day,8E6C8B49,In Transit,2025-06-16
369,O500368,Standard,822F8EA6,Cancelled,2025-06-13
370,O500369,Overnight,EF0DB33A,In Transit,2025-07-08
371,O500370,Two-Day,693F678F,In Transit,2025-06-09
372,O500371,Standard,5A40B3D3,Cancelled,2025-07-01
373,O500372,Express,1E3A9607,Delivered,2025-06-22
374,O500373,Two-Day,2DA5D4E6,Cancelled,2025-06-10
375,O500374,Two-Day,4180BBDF,Delivered,2025-06-18
376,O500375,Overnight,0DD33EF8,In Transit,2025-07-02
377,O500376,Overnight,CC2647DA,Delivered,2025-06-16
378,O500377,Express,6B907BF4,Cancelled,2025-07-01
379,O500378,Standard,DD3BA495,Cancelled,2025-06-25
380,O500379,Two-Day,63372F5F,Shipped,2025-06-28
381,O500380,Standard,64DF7C2F,Cancelled,2025-06-26
382,O500381,Express,036EC273,In Transit,2025-07-05
383,O500382,Overnight,FB9153B1,In Transit,2025-06-24
384,O500383,Standard,57983A4A,In Transit,2025-06-14
385,O500384,Express,5076CA3A,Pending,2025-07-01
386,O500385,Two-Day,FD26B951,In Transit,2025-07-08
387,O500386,Overnight,C5C9C870,Delivered,2025-06-25
388,O500387,Standard,03B41225,Cancelled,2025-06-17
389,O500388,Express,961114CB,Shipped,2025-06-28
390,O500389,Express,2067CA59,Cancelled,2025-07-03
391,O500390,Two-Day,429DD74A,Delivered,2025-07-09
392,O500391,Express,8AFEF59B,Cancelled,2025-06-20
393,O500392,Express,821DDF99,Cancelled,2025-06-15
394,O500393,Standard,425D7A65,In Transit,2025-07-04
395,O500394,Express,03F1C0E6,Delivered,2025-06-24
396,O500395,Express,6BCD3762,Shipped,2025-06-15
397,O500396,Overnight,6372D796,Shipped,2025-06-27
398,O500397,Standard,40691EA6,In Transit,2025-06-28
399,O500398,Express,CE7D8BDF,Delivered,2025-07-05
400,O500399,Standard,A6F48E03,Cancelled,2025-07-06
401,O500400,Two-Day,355DC2DE,Pending,2025-06-23
402,O500401,Overnight,C6935E09,Shipped,2025-07-05
403,O500402,Overnight,ED51DDE0,Shipped,2025-06-25
404,O500403,Express,8C47DEE3,Pending,2025-06-09
405,O500404,Express,98696568,Shipped,2025-06-13
406,O500405,Two-Day,447CEDE0,Cancelled,2025-06-30
407,O500406,Two-Day,4AA84C9A,Delivered,2025-07-04
408,O500407,Express,B61311C1,In Transit,2025-06-12
409,O500408,Two-Day,92983159,Shipped,2025-06-29
410,O500409,Express,716DB1B9,Delivered,2025-06-16
411,O500410,Standard,CF4F1DD3,Cancelled,2025-07-06
412,O500411,Two-Day,95149C8A,In Transit,2025-06-27
413,O500412,Two-Day,03B18819,Shipped,2025-06-24
414,O500413,Express,3F277CE0,Shipped,2025-06-16
415,O500414,Two-Day,2D0855A5,Shipped,2025-06-13
416,O500415,Express,29B54E75,Shipped,2025-06-27
417,O500416,Two-Day,3845C0EB,In Transit,2025-06-22
418,O500417,Standard,6C4F1E8F,Shipped,2025-06-24
419,O500418,Express,B13B68FE,In Transit,2025-06-09
420,O500419,Overnight,B233EE61,Pending,2025-06-28
421,O500420,Overnight,C9596FDD,Delivered,2025-06-21
422,O500421,Overnight,EBDE16FB,Shipped,2025-06-23
423,O500422,Standard,A10CDBDA,Delivered,2025-06-30
424,O500423,Two-Day,A4DB5B57,Pending,2025-06-20
425,O500424,Two-Day,B7FD73B4,Delivered,2025-07-01
426,O500425,Two-Day,C0F28D62,Delivered,2025-06-29
427,O500426,Standard,4C875F99,Pending,2025-06-14
428,O500427,Express,2C8C776B,Pending,2025-06-10
429,O500428,Overnight,782D6414,Delivered,2025-06-17
430,O500429,Overnight,7FF7F38C,Delivered,2025-07-01
431,O500430,Overnight,EEDB0AEA,In Transit,2025-07-07
432,O500431,Two-Day,0CB5AF2C,Delivered,2025-06-16
433,O500432,Two-Day,1B07D80B,Shipped,2025-06-13
434,O500433,Two-Day,C3D74ACB,Pending,2025-07-05
435,O500434,Standard,D30388A7,In Transit,2025-07-02
436,O500435,Two-Day,5F783939,Delivered,2025-07-07
437,O500436,Express,C5DADB7C,Shipped,2025-07-08
438,O500437,Standard,40240B41,Delivered,2025-07-02
439,O500438,Two-Day,99FCA040,Pending,2025-06-28
440,O500439,Overnight,9E416C68,Cancelled,2025-06-26
441,O500440,Overnight,6A31D34B,Delivered,2025-06-18
442,O500441,Express,46A03E51,Delivered,2025-07-04
443,O500442,Express,18556BB5,Shipped,2025-06-27
444,O500443,Standard,FCAB6791,In Transit,2025-07-06
445,O500444,Express,6786B0A9,Cancelled,2025-06-11
446,O500445,Express,CBE1F0CB,Cancelled,2025-06-12
447,O500446,Overnight,0D892EC5,Pending,2025-07-01
448,O500447,Express,62FB8EC5,Delivered,2025-06-24
449,O500448,Standard,CA622217,Pending,2025-06-17
450,O500449,Two-Day,A6400E80,Pending,2025-06-22
451,O500450,Overnight,7A71E1F2,Delivered,2025-06-24
452,O500451,Two-Day,0E020441,Delivered,2025-06-26
453,O500452,Two-Day,4A16A274,Delivered,2025-06-15
454,O500453,Overnight,B9DCE0C5,Shipped,2025-06-11
455,O500454,Overnight,361593C3,Delivered,2025-06-26
456,O500455,Express,1A9638D1,In Transit,2025-06-12
457,O500456,Overnight,BD660587,Shipped,2025-06-21
458,O500457,Standard,4FA94C1C,Delivered,2025-06-15
459,O500458,Standard,4F73EFCD,Shipped,2025-07-03
460,O500459,Two-Day,EF8A2706,Shipped,2025-06-16
461,O500460,Standard,0E9FA1D1,Cancelled,2025-07-06
462,O500461,Overnight,4B7F72C3,Shipped,2025-07-08
463,O500462,Express,4D793ED8,Cancelled,2025-06-30
464,O500463,Overnight,7C2FE960,Shipped,2025-07-06
465,O500464,Standard,AE3A68AE,Pending,2025-06-30
466,O500465,Express,127B7ACC,Cancelled,2025-07-01
467,O500466,Overnight,8B10E240,In Transit,2025-06-17
468,O500467,Two-Day,B71AE8BE,In Transit,2025-06-09
469,O500468,Standard,F1862E93,In Transit,2025-06-28
470,O500469,Standard,BA35BA2A,Shipped,2025-06-16
471,O500470,Standard,CD0C6C42,Pending,2025-07-01
472,O500471,Express,D81E3745,Cancelled,2025-06-17
473,O500472,Overnight,0284D34B,In Transit,2025-06-13
474,O500473,Two-Day,E2338754,Shipped,2025-06-23
